Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
CPFF11;Híbrido;75.90;7018;0.62;0.84;2.57;5.14;10.15;0.86;0.86;0.85;7.02;6.58;7.47;10.62;439277544.57;80.60;0.94;0.77;4.81;5.62;6.81;;;0
IBCR11;Títulos e Val Mob;90.00;4846;1.25;1.36;4.09;8.23;0.00;1.36;1.37;0.00;11.32;1.44;2.82;5.85;90997699.52;94.95;0.95;1.32;-2.33;-1.05;5.72;;;0
RBRF11;Títulos e Val Mob;76.25;69411;0.60;0.79;2.67;5.13;10.06;0.89;0.85;0.84;6.80;7.46;8.31;12.30;11896356.32;86.91;0.88;0.69;3.45;4.16;3.70;;;0
RBRR11;Títulos e Val Mob;96.46;30787;1.00;1.04;3.42;6.95;12.93;1.14;1.16;1.08;9.08;-2.05;-1.03;2.38;1295152748.04;96.37;1.00;1.04;-0.19;0.85;2.20;;;0
RBRY11;Títulos e Val Mob;102.50;9349;1.20;1.15;3.87;7.52;13.90;1.29;1.25;1.16;9.69;2.37;3.55;7.10;553285484.45;99.73;1.03;1.20;-2.64;-1.47;0.79;;;0
IRDM11;Títulos e Val Mob;101.97;58311;1.27;1.23;3.75;7.28;13.99;1.25;1.21;1.17;9.40;1.35;2.60;3.06;3461431680.17;95.01;1.07;1.33;-0.32;1.00;2.89;;;0
IRIM11;Híbrido;102.33;1808;1.16;1.07;4.22;8.00;0.00;1.41;1.33;0.00;10.93;5.63;6.77;8.45;18939106.90;98.46;1.04;1.18;-1.92;-0.77;1.34;;;0
GAME11;Híbrido;9.68;49209;0.10;1.04;3.86;7.99;0.00;1.29;1.33;0.00;10.15;-2.43;-1.42;-2.79;200741512.26;9.74;0.99;1.03;0.88;1.92;-98.89;;;0
CPTS11;Títulos e Val Mob;90.92;57907;1.10;1.20;3.64;7.13;13.58;1.21;1.19;1.13;9.40;2.09;3.32;3.23;2899539421.26;91.23;1.00;1.21;-2.31;-1.13;0.61;;;0
VGIR11;Títulos e Val Mob;9.92;197549;0.13;1.30;3.77;7.46;12.83;1.26;1.24;1.07;9.73;-90.13;-90.00;-89.17;730770532.68;96.53;0.10;0.13;0.11;0.24;4.68;;;0
VGIP11;Outros;90.25;36012;1.00;1.10;3.61;8.26;16.45;1.20;1.38;1.37;10.71;-2.28;-1.20;0.26;178889243.95;91.53;0.99;1.09;0.20;1.29;7.43;;;0
VGIA11;Títulos e Val Mob;10.02;454858;0.17;1.67;4.91;9.04;0.00;1.64;1.51;0.00;11.61;-1.84;-0.19;7.56;337648972.94;9.56;1.05;1.78;0.51;2.30;5.41;;;0
MGHT11;Hotel;68.73;950;0.80;1.16;3.64;6.82;12.02;1.21;1.14;1.00;8.67;6.04;7.27;-14.77;113860987.10;86.67;0.79;0.90;-10.30;-9.49;-7.85;;;0
MCCI11;Títulos e Val Mob;97.17;28946;1.10;1.12;3.37;6.48;12.40;1.12;1.08;1.03;8.47;0.87;2.01;5.10;1369340938.72;93.83;1.04;1.17;-2.98;-1.85;1.22;;;0
BRLA11;Híbrido;150.00;334;1.09;0.73;1.52;3.69;7.02;0.51;0.61;0.59;5.01;8.70;9.49;14.26;379116262.56;157.99;0.95;0.69;-0.13;0.56;-10.38;;;0
MCHF11;Títulos e Val Mob;9.28;65436;0.11;1.13;3.66;7.01;0.00;1.22;1.17;0.00;9.17;2.21;3.36;5.12;312636898.43;9.68;0.96;1.24;-1.04;0.18;-2.08;;;0
TRNT11;Lajes Corporativas;109.63;1;0.28;0.25;0.97;2.07;4.23;0.32;0.35;0.35;2.77;-1.75;-1.51;6.79;79738659.97;202.52;0.54;0.14;0.02;0.16;0.81;49.90;;1
