Código do fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) Média;DY (6M) Média;DY (12M) Média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líq.;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. no Período;Rentab. Patr. Acumulada;Vacância Física;Vacância Financeira;Quantidade Ativos
BTLG11;Logística;103.79;46994;0.74;0.73;2.27;4.37;8.50;0.76;0.73;0.71;5.07;3.89;4.64;4.61;1504876179.16;98.82;1.05;0.73;-0.22;0.51;1.24;;2.00;16
MCHY11;Títulos e Val Mob;109.90;1;1.40;1.29;3.82;7.51;13.12;1.27;1.25;1.09;8.68;1.06;2.36;6.97;371756272.98;103.56;1.06;;;;;;;0
BTAL11;Outros;100.98;11909;0.83;0.87;2.59;5.11;10.20;0.86;0.85;0.85;5.95;3.12;4.01;8.01;63673252.98;106.32;0.95;;;;;;;7
MORC11;Títulos e Val Mob;94.14;4715;1.30;1.36;4.29;8.71;0.00;1.43;1.45;0.00;9.82;-2.39;-1.07;5.67;127469497.93;98.67;0.95;;;;;;;0
CCRF11;Títulos e Val Mob;97.50;18;1.10;1.11;3.77;7.30;0.00;1.26;1.22;0.00;8.65;-0.02;1.09;7.97;15297136.88;97.32;1.00;;;;;;;0
EQIR11;Títulos e Val Mob;93.21;49;1.10;1.15;3.52;6.80;0.00;1.17;1.13;0.00;7.87;-1.00;0.13;5.94;49835472.58;99.18;0.94;;;;;;;0
ERCR11;Híbrido;7600.00;1;783.96;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;165915282.64;69829.66;1.09;1.12;-0.10;1.02;3.32;;;0
XPML11;Shoppings;103.83;37515;0.70;0.68;2.12;4.19;7.96;0.71;0.70;0.66;4.83;10.98;11.73;15.63;1907854902.08;102.12;1.02;;;;;3.90;;16
FCFL11;Outros;131.00;1929;0.87;0.74;2.21;4.37;8.67;0.74;0.73;0.72;5.09;4.99;5.76;9.03;36415453.44;104.78;1.25;;;;;0.00;;1
ALZR11;Logística;117.90;11157;0.78;0.67;2.04;4.06;7.68;0.68;0.68;0.64;4.69;3.33;4.02;5.71;741305529.88;111.24;1.06;;;;;0.00;;15
FLRP11;Shoppings;1516.30;38;10.00;0.63;2.33;4.70;8.08;0.78;0.78;0.67;5.37;5.48;6.14;38.89;112693577.60;1727.58;0.88;0.58;0.48;1.06;3.30;2.01;;1
CNES11;Lajes Corporativas;33.66;12;0.10;0.26;0.83;1.49;3.62;0.28;0.25;0.30;1.88;9.28;9.57;9.97;257399777.87;87.28;0.39;;;;;56.70;;1
BTRA11;Outros;87.50;11007;0.70;0.74;2.46;5.21;10.20;0.82;0.87;0.85;6.12;17.36;18.23;2.45;350107569.75;104.06;0.84;;;;;;;0
EDGA11;Lajes Corporativas;20.89;588;0.09;0.47;2.12;4.51;7.21;0.71;0.75;0.60;4.99;8.99;9.50;-4.41;252351519.37;66.20;0.32;0.26;-0.06;0.20;0.36;48.81;;1
LASC11;Shoppings;92.00;68;0.36;0.39;1.46;3.26;6.79;0.49;0.54;0.57;4.48;0.00;0.39;6.89;284506676.14;112.98;0.81;0.32;0.80;1.12;3.07;2.40;;3
EVBI11;Híbrido;100.00;513;0.75;0.76;2.28;4.64;9.20;0.76;0.77;0.77;5.45;1.11;1.88;12.36;139909108.47;100.09;1.00;;;;;0.00;;4
VVPR11;Híbrido;99.93;99;0.73;0.73;2.41;4.84;9.58;0.80;0.81;0.80;5.69;0.52;1.25;12.68;23844573.76;103.41;0.97;0.74;0.02;0.76;1.53;0.00;;6
KNHY11;Títulos e Val Mob;98.50;20107;0.76;0.78;3.19;7.53;14.89;1.06;1.26;1.24;9.80;-0.05;0.72;1.08;1795923627.38;97.13;1.01;0.78;0.59;1.38;9.20;;;0
BARI11;Títulos e Val Mob;97.50;5508;1.05;1.06;3.94;7.72;14.52;1.31;1.29;1.21;9.84;-1.26;-0.21;4.14;47193800.88;101.84;0.96;1.03;-0.29;0.74;7.44;;;0
KNCR11;Títulos e Val Mob;101.25;91026;1.30;1.26;3.41;6.40;10.65;1.14;1.07;0.89;8.05;0.50;1.77;11.70;4736822756.95;101.17;1.00;1.28;-0.23;1.05;8.62;;;0
KNSC11;Títulos e Val Mob;86.40;33282;0.70;0.82;2.98;6.77;14.51;0.99;1.13;1.21;9.08;-6.62;-5.85;-6.25;1178257357.98;88.75;0.97;0.79;0.54;1.33;7.98;;;0
KNCA11;Títulos e Val Mob;107.04;16867;1.46;1.36;3.66;7.22;0.00;1.22;1.20;0.00;8.21;0.47;1.84;5.29;827120197.40;102.11;1.05;1.43;1.18;2.62;9.64;;;0
HUSI11;Hospital;171.00;1;7.95;0.74;0.00;0.00;0.00;0.00;0.00;0.00;0.74;0.00;0.74;0.74;115398177.82;991.72;1.08;0.80;0.88;1.69;1.69;;;0
JSRE11;Híbrido;86.99;24836;0.49;0.56;1.86;3.79;7.92;0.62;0.63;0.66;5.14;15.50;16.15;15.53;2359678921.37;113.62;0.77;0.43;0.11;0.55;3.19;14.80;13.40;5
XPCA11;Títulos e Val Mob;10.03;156102;0.14;1.27;4.01;8.17;0.00;1.34;1.36;0.00;10.34;7.30;8.67;26.42;16895144.07;9.50;1.06;1.47;0.04;1.52;10.99;;;0
XPCI11;Outros;91.98;16954;0.96;1.01;3.21;6.90;13.25;1.07;1.15;1.10;9.18;2.02;3.05;6.57;853537598.37;98.09;0.94;0.98;1.05;2.04;12.80;;;0
LUGG11;Residencial;79.19;364;0.52;0.66;2.01;4.22;7.82;0.67;0.70;0.65;5.47;-2.07;-1.42;-4.57;11589203.18;127.88;0.62;0.41;0.03;0.43;6.06;2.40;;4
LGCP11;Logística;84.77;5390;0.62;0.73;2.32;4.61;8.81;0.77;0.77;0.73;6.09;10.67;11.47;10.12;279131782.37;102.14;0.83;0.61;0.02;0.63;4.94;0.50;;5
HGRE11;Lajes Corporativas;141.72;10588;0.78;0.55;1.78;3.55;8.27;0.59;0.59;0.69;4.60;16.37;17.00;12.97;1912841196.87;161.86;0.88;0.48;-0.09;0.40;1.29;27.13;29.17;21
RNGO11;Lajes Corporativas;53.40;2231;0.43;0.78;2.62;4.92;8.90;0.87;0.82;0.74;6.34;19.70;20.63;15.48;234637920.50;87.68;0.61;0.49;-0.01;0.48;3.84;24.10;;3
FVPQ11;Shoppings;118.10;537;0.52;0.44;1.72;3.65;7.22;0.57;0.61;0.60;5.26;4.01;4.47;22.72;555549403.82;198.40;0.60;0.26;-0.27;-0.01;3.20;5.50;;1
RBRS11;Híbrido;63.84;25;0.40;0.64;2.39;4.59;8.34;0.80;0.76;0.69;5.86;9.51;10.21;-2.19;155517301.68;89.67;0.71;0.45;-1.23;-0.79;-0.93;;;0
HOSI11;Híbrido;65.00;723;0.44;0.64;1.81;3.32;7.03;0.60;0.55;0.59;4.32;3.67;4.33;-2.15;5396192.59;92.59;0.70;0.48;0.30;0.78;3.21;;;2
RBED11;Outros;133.53;1175;1.23;0.89;2.92;5.71;10.85;0.97;0.95;0.90;7.56;18.81;19.87;23.54;28519772.84;140.99;0.95;0.87;0.05;0.93;6.33;0.00;;5
HREC11;Títulos e Val Mob;94.84;3;0.80;0.82;3.39;6.73;12.22;1.13;1.12;1.02;8.59;-0.20;0.61;11.21;424464609.39;91.15;1.04;0.88;0.58;1.46;8.49;;;0
PQAG11;Logística;56.56;234;0.42;0.74;2.19;4.28;8.11;0.73;0.71;0.68;5.68;0.11;0.84;6.96;801775734.17;57.30;0.99;0.73;0.00;0.73;6.66;0.00;;1
ITIP11;Títulos e Val Mob;82.44;513;0.94;1.15;3.70;7.23;14.04;1.23;1.21;1.17;9.63;1.36;2.52;10.96;63335350.67;84.66;0.97;1.11;-1.26;-0.16;4.29;;;0
HFOF11;Títulos e Val Mob;79.44;20982;0.62;0.81;2.56;4.97;9.44;0.85;0.83;0.79;6.51;11.13;12.02;3.99;1999474919.62;86.93;0.91;0.71;5.78;6.53;8.70;;;0
FIGS11;Shoppings;55.95;4956;0.37;0.63;2.23;4.35;8.08;0.74;0.72;0.67;5.71;20.94;21.70;14.02;283838691.76;99.59;0.56;0.37;0.10;0.47;3.00;13.70;;2
WPLZ11;Shoppings;83.24;29;0.50;0.66;1.88;3.11;5.49;0.63;0.52;0.46;3.88;11.72;12.45;10.12;10535692.82;102.90;0.81;0.49;0.03;0.52;2.98;11.00;;1
HABT11;Títulos e Val Mob;94.60;19922;1.03;1.06;3.65;7.33;14.74;1.22;1.22;1.23;9.62;-1.98;-0.94;-4.17;820874555.41;101.01;0.94;1.02;1.37;2.41;13.97;;;0
ARRI11;Títulos e Val Mob;8.96;62057;0.11;1.17;3.82;7.93;16.47;1.27;1.32;1.37;10.53;-89.75;-89.63;-89.63;10935315.33;9.28;0.97;1.19;-89.95;-89.83;-89.11;;;0
CACR11;Híbrido;99.91;4273;1.54;1.52;4.40;7.40;15.44;1.47;1.23;1.29;10.17;3.54;5.12;4.19;186509870.57;103.19;0.97;1.49;0.19;1.68;33.38;;;0
SHPH11;Shoppings;825.00;176;4.25;0.53;1.55;2.79;5.66;0.52;0.47;0.47;3.90;11.11;11.70;3.18;54197847.39;888.58;0.93;0.50;-0.02;0.48;2.65;10.80;;1
JGPX11;Híbrido;98.10;2838;1.20;1.22;3.38;7.13;0.00;1.13;1.19;0.00;9.32;-0.26;0.95;11.23;81324970.36;95.89;1.02;1.25;0.31;1.57;9.51;;;0
SPVJ11;Outros;;;0.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;67651853.59;107.18;;0.63;-0.09;0.54;4.63;;;0
MXRF11;Híbrido;10.30;556707;0.11;1.07;3.32;6.63;11.99;1.11;1.11;1.00;8.60;5.31;6.43;23.53;2302693543.19;10.19;1.01;0.98;-0.02;0.96;2.22;;;0
XPLG11;Logística;108.78;27135;0.72;0.67;2.16;4.22;8.17;0.72;0.70;0.68;5.59;11.63;12.37;16.20;386874864.39;113.90;0.96;0.63;0.18;0.81;8.77;8.80;1.20;13
URPR11;Outros;102.88;53807;1.62;1.56;4.32;9.25;18.15;1.44;1.54;1.51;12.01;-4.88;-3.40;-2.95;995953483.07;101.03;1.02;1.60;0.66;2.27;20.72;;;0
PLOG11;Logística;78.84;1042;0.75;0.95;3.13;6.28;12.15;1.04;1.05;1.01;8.40;19.27;20.40;15.10;75302819.52;100.40;0.79;0.75;0.08;0.83;6.37;20.40;;1
PORD11;Títulos e Val Mob;96.98;5413;1.15;1.19;4.49;8.85;15.55;1.50;1.48;1.30;11.27;-1.15;0.03;15.47;365338854.63;97.99;0.99;1.17;-0.19;0.98;6.46;;;0
NVHO11;Hospital;10.33;107;0.08;0.74;2.13;3.64;7.33;0.71;0.61;0.61;3.64;-0.94;-0.22;4.88;528270590.57;12.73;0.81;0.61;0.04;0.65;4.14;;;1
NEWL11;Híbrido;102.09;1227;0.90;0.87;3.66;6.09;11.35;1.22;1.01;0.95;7.66;9.42;10.37;8.60;263976376.49;129.84;0.79;0.69;0.12;0.82;19.39;0.00;;2
